CurrentRank,LastRank,Institution,Country,Size,Focus,Research,Age,Status,Academicscorerscore,Academicrankrank,Employerscore,Employerrank,FacultyStudentscore,FacultyStudentrank,CitationsPerFacultyscore,CitationsPerFacultyrank,InternationalFacultyscore,InternationalFacultyrank,InternationalStudentscore,InternationalStudentrank,OverallScore,Latitude,Longitude,anno,pca_1,pca_2,color
11,13,NANYANG TECHNOLOGICAL UNIVERSITY (NTU),Singapore,L,FC,VH,3.0,A,93.9,50,96.6,38,93.6,60,83.3,57.0,100.0,19.0,88.2,108.0,92.2,1.347227,103.681792,2018,6.061635994167828,2.0826861438302617,red
12,14,ECOLE POLYTECHNIQUE FÉDÉRALE DE LAUSANNE (EPFL),Switzerland,M,FO,VH,5.0,A,83.0,73,95.5,42,92.0,71,99.2,14.0,100.0,13.0,100.0,11.0,91.2,52.527452,13.401992,2018,6.409742799084324,-0.0645077348336643,red
13,11,PRINCETON UNIVERSITY,United States,M,CO,VH,5.0,B,100.0,9,97.3,33,70.9,163,100.0,5.0,67.4,229.0,70.8,188.0,91.0,40.3451335,-74.65832225,2018,5.886777449500163,-0.5833770662366259,red
14,16,CORNELL UNIVERSITY,United States,L,FC,VH,5.0,B,99.6,20,93.7,51,67.4,181,96.2,25.0,92.2,132.0,79.2,155.0,90.7,42.4485,-76.4786,2018,6.050607493829078,-0.3611891966093309,red
15,12,NATIONAL UNIVERSITY OF SINGAPORE (NUS),Singapore,XL,FC,VH,5.0,A,100.0,11,99.9,11,88.8,81,66.2,128.0,100.0,27.0,86.1,121.0,90.5,1.294541875,103.776866875,2018,6.12028704912201,-0.2245146468178052,red
16,15,YALE UNIVERSITY,United States,L,FC,VH,5.0,B,100.0,10,99.8,13,100.0,4,63.2,141.0,90.7,141.0,61.7,231.0,90.4,41.3113795,-72.92584699999999,2018,5.869673613392046,-0.4103241590298503,red
17,17,JOHNS HOPKINS UNIVERSITY,United States,L,FC,VH,5.0,B,94.3,45,66.4,142,100.0,11,83.9,52.0,87.9,157.0,81.3,142.0,89.8,39.3289375,-76.6204945,2018,5.820227850300738,-0.213384770257559,red
18,20,COLUMBIA UNIVERSITY,United States,L,FC,VH,5.0,B,99.9,12,98.1,29,100.0,17,62.3,148.0,34.7,374.0,94.9,80.0,88.9,40.8045,-73.9572,2018,5.647750142216992,-0.578604486624345,red
19,18,UNIVERSITY OF PENNSYLVANIA,United States,L,FC,VH,5.0,B,97.4,34,94.9,48,100.0,15,67.4,124.0,67.1,233.0,64.5,213.0,88.7,39.9492625,-75.191259,2018,5.628424158632032,-0.5325417635976906,red
20,22,AUSTRALIAN NATIONAL UNIVERSITY (ANU),Australia,L,FC,VH,4.0,A,99.3,24,90.4,60,55.3,250,85.6,49.0,100.0,33.0,98.8,45.0,87.1,-35.277988,149.120453,2018,5.864581795148681,0.9220470199114637,red
21,24,DUKE UNIVERSITY,United States,L,FC,VH,5.0,B,94.0,47,78.1,99,98.1,42,91.4,38.0,14.2,401.0,56.6,253.0,87.0,36.001218125,-78.93810350000001,2018,5.093631888842041,-0.8965900577749188,red
21,23,UNIVERSITY OF MICHIGAN,United States,XL,FC,VH,5.0,A,99.7,19,92.2,58,89.6,78,66.7,126.0,78.0,204.0,51.2,279.0,87.0,42.2771875,-83.73849799999999,2018,5.460907220680676,-0.5681819869761469,red
23,21,KING'S COLLEGE LONDON (KCL),United Kingdom,L,FC,VH,5.0,A,92.8,53,92.4,57,87.6,84,64.8,132.0,97.4,88.0,99.2,34.0,86.9,51.42141,-0.225741,2018,5.965920322337484,-0.1198477765025183,red
23,19,UNIVERSITY OF EDINBURGH,United Kingdom,L,FC,VH,5.0,A,99.1,28,96.6,37,83.2,108,55.5,189.0,94.9,116.0,98.6,48.0,86.9,55.944954,-3.18805,2018,5.917537247979365,-0.1822159691245367,red
25,24,TSINGHUA UNIVERSITY,China,XL,FC,VH,5.0,A,99.2,26,99.6,16,86.7,86,75.3,87.0,42.1,344.0,25.6,401.0,85.6,40.000979,116.326377,2018,5.029496865317642,-0.9937046077436236,red
26,27,UNIVERSITY OF HONG KONG (HKU),Hong Kong,L,FC,VH,5.0,A,99.1,27,93.4,52,85.3,95,46.3,271.0,100.0,18.0,99.4,32.0,85.5,22.3046025,114.179821,2018,5.820584031275548,-0.128013825134296,red
27,28,"UNIVERSITY OF CALIFORNIA, BERKELEY (UCB)",United States,XL,FC,VH,5.0,A,100.0,3,99.9,9,36.2,358,99.3,13.0,97.7,85.0,54.6,267.0,84.9,37.870394,-122.259058,2018,5.584884083221773,-0.5683984993330905,red
28,26,NORTHWESTERN UNIVERSITY,United States,L,FC,VH,5.0,B,91.3,58,76.6,107,98.6,37,75.4,86.0,57.9,271.0,55.0,265.0,84.8,42.0530945,-87.6752305,2018,5.196367739509071,-0.5938172549508094,red
28,34,THE UNIVERSITY OF TOKYO,Japan,L,FC,VH,5.0,A,100.0,7,99.8,14,92.6,68,73.3,97.0,9.7,401.0,20.2,401.0,84.8,35.71104149999999,139.765039,2018,4.71653813865851,-1.2340989270212517,red
30,36,THE HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY (HKUST),Hong Kong,M,CO,VH,3.0,A,93.0,52,87.2,71,54.9,256,87.7,47.0,100.0,17.0,93.0,87.0,84.3,22.3374505,114.263211,2018,5.542716459858887,2.0435743526425685,red
31,32,UNIVERSITY OF TORONTO,Canada,XL,FC,VH,5.0,A,99.7,17,95.6,41,74.5,150,50.0,233.0,97.0,99.0,92.1,91.0,84.0,43.548175,-79.6626575,2018,5.668300028921653,-0.2275111188449307,red
32,30,MCGILL UNIVERSITY,Canada,L,FC,VH,5.0,A,96.9,35,96.1,40,69.4,169,61.4,157.0,88.9,149.0,95.6,75.0,83.9,45.50463675,-73.5763445,2018,5.684643309347,-0.2663171512674879,red
33,31,"UNIVERSITY OF CALIFORNIA, LOS ANGELES (UCLA)",United States,XL,FC,VH,4.0,A,100.0,8,99.4,22,43.7,306,97.5,19.0,54.0,293.0,50.0,290.0,83.6,34.070845,-118.44548175,2018,5.068120703246263,0.2550199833048658,red
34,29,THE UNIVERSITY OF MANCHESTER,United Kingdom,XL,FC,VH,5.0,A,97.4,33,99.4,21,75.4,144,47.5,259.0,89.3,148.0,98.3,51.0,83.0,53.4644325,-2.2355155,2018,5.644545599412293,-0.2394949575360374,red
35,37,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE (LSE),United Kingdom,M,SP,VH,5.0,A,90.3,59,100.0,7,55.9,248,71.7,102.0,100.0,22.0,100.0,7.0,81.8,51.5142765,-0.116634,2018,5.740020865551299,-0.1834295945677761,red
36,37,KYOTO UNIVERSITY,Japan,L,FC,VH,5.0,A,99.7,18,94.9,47,95.7,54,56.4,185.0,13.1,401.0,17.1,401.0,81.5,35.030004500000004,135.76097299999998,2018,4.447771468696508,-1.207545575458397,red
36,35,SEOUL NATIONAL UNIVERSITY (SNU),South Korea,L,FC,VH,4.0,A,98.9,30,97.4,31,79.8,120,70.6,104.0,23.0,401.0,16.0,401.0,81.5,14.604405,120.994477,2018,4.440876982792552,-0.0639708983658719,red
38,39,PEKING UNIVERSITY,China,XL,FC,VH,5.0,A,99.8,14,99.9,12,66.6,183,61.7,153.0,52.8,300.0,48.5,298.0,80.8,39.990647,116.304231,2018,4.923080995891245,-0.8280605883193396,red
38,40,"UNIVERSITY OF CALIFORNIA, SAN DIEGO (UCSD)",United States,XL,FC,VH,4.0,A,96.0,37,61.3,164,58.9,229,90.3,41.0,64.6,242.0,59.9,240.0,80.8,32.879793,-117.23892,2018,4.799485395631706,0.5295902450441383,red
40,43,FUDAN UNIVERSITY,China,L,FC,VH,5.0,A,91.4,57,97.1,35,76.1,140,63.7,138.0,79.5,193.0,45.2,316.0,80.6,31.298891,121.502119,2018,5.091268606440568,-0.6079766895260911,red
41,46,KAIST 0 KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY,South Korea,M,CO,VH,3.0,A,89.4,61,87.4,70,70.1,167,99.5,11.0,25.2,401.0,10.0,401.0,80.4,36.372092,127.360296,2018,4.266759607123604,1.0710922329080514,red
41,42,THE UNIVERSITY OF MELBOURNE,Australia,XL,FC,VH,5.0,A,99.8,15,99.5,20,26.2,401,77.2,79.0,94.7,120.0,99.7,27.0,80.4,-37.83761,145.041567,2018,5.556814247216967,-0.3273328570398822,red
43,33,"ECOLE NORMALE SUPÉRIEURE, PARIS (ENS PARIS)",France,S,SP,VH,5.0,B,80.2,80,78.6,97,60.4,219,100.0,7.0,94.4,123.0,60.4,238.0,79.9,48.84198,2.3445980000000004,2018,5.291851646067622,-0.3754802371707705,red
44,41,UNIVERSITY OF BRISTOL,United Kingdom,L,FC,VH,5.0,A,85.7,68,95.5,44,79.2,125,56.4,184.0,87.9,158.0,79.2,154.0,79.5,51.45701725,-2.60406325,2018,5.335372445261171,-0.3077397120812914,red
45,49,THE UNIVERSITY OF NEW SOUTH WALES (UNSW),Australia,XL,FC,VH,4.0,A,96.4,36,98.4,26,22.4,401,79.8,68.0,100.0,38.0,97.8,55.0,78.9,-33.917295,151.231356,2018,5.380689513350755,0.8300654593116499,red
46,44,THE CHINESE UNIVERSITY OF HONG KONG (CUHK),Hong Kong,L,FC,VH,4.0,A,94.3,46,83.3,87,66.0,188,50.7,228.0,99.8,53.0,84.9,126.0,78.8,22.418587,114.2081345,2018,5.147215092584963,0.90209982767704,red
47,58,CARNEGIE MELLON UNIVERSITY,United States,L,FC,VH,5.0,B,85.0,69,85.1,79,43.2,313,95.6,29.0,62.3,249.0,100.0,19.0,78.6,40.443322,-79.943583,2018,5.260772702213994,-0.4184150244076021,red
47,51,THE UNIVERSITY OF QUEENSLAND (UQ),Australia,XL,FC,VH,5.0,A,94.6,43,84.1,84,30.8,401,83.4,55.0,100.0,30.0,87.3,113.0,78.6,-27.497473,153.01322499999998,2018,5.3261715058316055,-0.3031796223063402,red
49,55,CITY UNIVERSITY OF HONG KONG,Hong Kong,M,CO,VH,3.0,A,70.8,113,50.5,226,83.6,105,91.5,37.0,100.0,15.0,97.5,58.0,78.4,22.3351853259,114.170459318,2018,5.112531174720714,2.306762338791584,red
50,46,THE UNIVERSITY OF SYDNEY,Australia,XL,FC,VH,5.0,A,99.3,25,98.3,28,21.4,401,70.3,109.0,100.0,39.0,98.1,52.0,78.0,-33.889192,151.189728,2018,5.403729046490735,-0.3073284582708729,red
51,45,UNIVERSITY OF BRITISH COLUMBIA,Canada,XL,FC,VH,5.0,A,99.1,29,95.5,43,37.9,340,63.7,137.0,91.5,134.0,72.2,179.0,77.9,49.264573,-123.250612,2018,5.127868337266924,-0.4769123930769163,red
52,46,NEW YORK UNIVERSITY (NYU),United States,XL,FC,VH,5.0,B,97.9,31,92.6,56,95.5,55,23.4,401.0,14.5,401.0,84.1,130.0,77.3,40.861041,-73.88549,2018,4.6033496007856805,-0.7655630926805375,red
53,49,BROWN UNIVERSITY,United States,M,FC,VH,5.0,B,72.5,106,56.9,188,80.3,117,92.5,34.0,80.2,191.0,60.9,236.0,76.5,41.82682,-71.402931,2018,4.873428090911535,-0.3395378072538175,red
54,62,DELFT UNIVERSITY OF TECHNOLOGY,Netherlands,L,CO,VH,5.0,A,79.7,83,91.0,59,36.7,355,91.6,36.0,97.7,84.0,87.4,112.0,76.1,52.0022175,4.371763,2018,5.300315425029301,-0.2666954914146611,red
55,53,UNIVERSITY OF WISCONSIN0MADISON,United States,XL,FC,VH,5.0,A,94.0,49,62.1,160,84.0,102,54.2,199.0,53.2,296.0,30.9,401.0,75.8,43.0732435,-89.408095,2018,4.257395994337795,-0.7816809735211449,red
56,56,TOKYO INSTITUTE OF TECHNOLOGY,Japan,M,CO,VH,5.0,A,83.1,72,83.7,85,90.1,77,62.4,147.0,26.5,401.0,24.4,401.0,74.8,35.60578,139.6843815,2018,4.203009255695254,-0.9996650060931958,red
57,51,THE UNIVERSITY OF WARWICK,United Kingdom,L,FC,VH,4.0,A,83.5,71,98.9,24,51.2,271,54.1,200.0,98.0,79.0,99.0,40.0,74.4,52.380857,-1.561638,2018,5.137249530133976,0.943547541489084,red
58,57,UNIVERSITY OF AMSTERDAM,Netherlands,L,FC,VH,5.0,A,90.1,60,66.1,145,45.2,300,83.5,54.0,75.4,208.0,38.9,363.0,74.3,52.363287,4.911971,2018,4.465932016524468,-0.6765912843644282,red
59,53,ECOLE POLYTECHNIQUE,France,S,CO,VH,5.0,A,61.2,153,99.9,10,99.3,32,50.8,227.0,96.4,104.0,90.8,95.0,74.0,46.520378,6.565148000000001,2018,5.302315251599743,-0.0498229674260064,red
60,65,MONASH UNIVERSITY,Australia,XL,FC,VH,4.0,A,93.6,51,95.2,46,11.9,401,68.5,118.0,100.0,43.0,97.7,56.0,73.1,-37.91063,145.13360699999998,2018,4.983025476695286,0.8241096330242813,red
61,59,UNIVERSITY OF WASHINGTON,United States,XL,FC,VH,5.0,A,92.3,55,56.7,190,28.0,401,98.8,16.0,57.2,275.0,39.4,360.0,72.9,47.654538,-122.3076595,2018,4.227105003163762,-0.8273375639968802,red
62,61,SHANGHAI JIAO TONG UNIVERSITY,China,XL,FC,VH,5.0,A,87.0,66,97.4,32,36.7,356,81.5,62.0,69.2,225.0,13.4,401.0,72.5,31.200472,121.429896,2018,4.343123306963425,-0.9580790664403817,red
63,63,OSAKA UNIVERSITY,Japan,L,FC,VH,4.0,A,88.5,63,75.4,112,71.9,158,63.1,142.0,21.5,401.0,18.9,401.0,72.1,34.823534,135.520052,2018,3.7582390673258814,0.0157603394868233,red
64,60,TECHNISCHE UNIVERSITÄT MÜNCHEN,Germany,XL,CO,VH,5.0,A,86.3,67,98.7,25,86.4,88,26.6,401.0,53.0,299.0,44.8,318.0,72.0,48.14852,11.5676645,2018,4.347150156729402,-0.7430258876705941,red
65,63,UNIVERSITY OF GLASGOW,United Kingdom,L,FC,VH,5.0,A,80.4,79,66.6,141,60.7,216,55.5,190.0,90.5,142.0,96.6,65.0,71.6,55.8719945,-4.288112,2018,4.81970021415945,-0.1401429685433604,red
66,68,LUDWIG0MAXIMILIANS0UNIVERSITÄT MÜNCHEN,Germany,XL,FC,VH,5.0,A,95.8,38,88.2,65,38.9,334,55.1,194.0,54.8,286.0,38.6,365.0,70.8,48.150471,11.594703,2018,4.15531667655002,-0.8993025552942583,red
67,67,UNIVERSITY OF TEXAS AT AUSTIN,United States,XL,FC,VH,5.0,A,97.6,32,82.1,91,13.5,401,95.7,28.0,6.3,401.0,20.9,401.0,70.6,30.2853755,-97.735642,2018,3.740299636648791,-1.3985756542314989,red
68,72,RUPRECHT0KARLS0UNIVERSITÄT HEIDELBERG,Germany,L,FC,VH,5.0,A,87.6,65,76.5,108,76.6,138,34.8,365.0,50.5,308.0,55.2,264.0,70.4,49.410121,8.706576,2018,4.159869577360723,-0.6731021311525326,red
69,66,UNIVERSITY OF ILLINOIS AT URBANA0CHAMPAIGN,United States,XL,FC,VH,5.0,A,95.1,41,59.8,176,14.2,401,93.5,33.0,20.4,401.0,71.2,184.0,70.3,40.11054,-88.2269005,2018,4.04570551919352,-0.928882189391494,red
70,71,GEORGIA INSTITUTE OF TECHNOLOGY (GEORGIA TECH),United States,L,CO,VH,5.0,A,79.1,84,79.4,95,31.7,401,99.1,15.0,11.7,401.0,72.1,180.0,70.1,33.7763205,-84.394711,2018,4.217313631233813,-0.9277171740557774,red
71,79,KATHOLIEKE UNIVERSITEIT LEUVEN ,Belgium,XL,FC,VH,5.0,A,88.1,64,78.0,101,10.4,401,88.9,44.0,84.8,175.0,41.6,341.0,69.4,55.787603,49.122207,2018,4.317733519076577,-0.7008647587040167,red
71,83,POHANG UNIVERSITY OF SCIENCE AND TECHNOLOGY (POSTECH),South Korea,S,FO,VH,3.0,B,50.9,190,65.6,148,99.5,31,99.8,10.0,42.4,342.0,6.2,401.0,69.4,36.012097,129.3227425,2018,3.746778671349636,1.4269065854812402,red
73,68,UNIVERSITY OF COPENHAGEN,Denmark,XL,FC,VH,5.0,A,81.7,76,54.2,205,99.9,21,26.9,401.0,84.9,173.0,26.5,401.0,69.2,55.68014,12.572227,2018,3.981043348379341,-0.4878149278413089,red
73,80,UNIVERSITY OF ZURICH,Switzerland,L,FC,VH,5.0,A,68.3,125,78.1,100,98.1,43,31.9,394.0,100.0,44.0,59.2,245.0,69.2,47.3748005,8.548363,2018,4.548376809849697,-0.1940748835446686,red
75,85,UNIVERSIDAD DE BUENOS AIRES,Argentina,XL,FC,VH,5.0,A,94.5,44,95.5,45,75.1,147,2.6,401.0,50.3,309.0,70.6,189.0,69.1,19.723743,-101.244986,2018,4.181126287204588,-0.6448992715359698,red
76,68,NATIONAL TAIWAN UNIVERSITY (NTU),Taiwan,XL,FC,VH,4.0,A,95.6,40,74.2,116,33.3,392,74.1,93.0,14.5,401.0,20.6,401.0,69.0,25.021115625,121.5361145,2018,3.495072049307819,-0.1399272322552154,red
76,75,TOHOKU UNIVERSITY,Japan,L,FC,VH,5.0,A,78.3,85,66.0,146,98.1,44,48.4,251.0,14.3,401.0,18.1,401.0,69.0,38.271773,140.861356,2018,3.5896714578790294,-1.040052126008307,red
78,74,DURHAM UNIVERSITY,United Kingdom,L,FC,VH,5.0,A,66.8,128,97.1,34,37.5,344,76.3,82.0,94.8,117.0,87.8,109.0,68.5,54.77063750000001,-1.5738085000000002,2018,4.897866229408719,-0.2468081943969976,red
78,73,LUND UNIVERSITY,Sweden,L,FC,VH,5.0,A,80.0,81,71.8,123,53.7,261,51.8,218.0,88.3,152.0,73.8,171.0,68.5,46.7395603,-116.9748403,2018,4.465467192058453,-0.3228952839622742,red
80,78,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",United States,L,FC,VH,5.0,A,77.5,88,48.1,250,86.9,85,61.5,156.0,28.5,401.0,14.1,401.0,67.8,35.907882,-79.0500079375,2018,3.489388192641065,-0.9539250194947868,red
81,89,BOSTON UNIVERSITY,United States,L,FC,VH,5.0,B,71.3,112,78.5,98,66.4,185,59.8,160.0,22.1,401.0,86.5,116.0,67.2,42.3496,-71.0997,2018,4.152861417574306,-0.645176743928307,red
82,81,THE UNIVERSITY OF AUCKLAND,New Zealand,L,FC,VH,5.0,A,92.2,56,77.3,103,19.4,401,48.1,255.0,85.5,169.0,89.6,103.0,67.0,-36.852596,174.769411,2018,4.407091204012946,-0.3830055126384806,red
82,84,THE UNIVERSITY OF SHEFFIELD,United Kingdom,L,FC,VH,5.0,A,69.8,116,69.9,131,64.3,197,50.1,232.0,83.6,176.0,96.8,64.0,67.0,53.38172,-1.479158,2018,4.544815422125182,-0.1439583404075924,red
84,75,THE UNIVERSITY OF NOTTINGHAM,United Kingdom,L,FC,VH,5.0,A,69.9,115,87.5,69,59.5,226,46.3,269.0,89.5,147.0,86.5,118.0,66.8,2.9445225,101.8749405,2018,4.6115411086402975,-0.2209914936234514,red
84,82,UNIVERSITY OF BIRMINGHAM,United Kingdom,L,FC,VH,5.0,A,74.7,97,88.6,64,48.2,280,47.2,262.0,90.9,138.0,86.0,123.0,66.8,52.450079,-1.9305515,2018,4.584478469735673,-0.2614697727970659,red
86,88,OHIO STATE UNIVERSITY,United States,XL,FC,VH,5.0,A,75.3,95,60.6,172,77.7,132,40.3,314.0,79.3,199.0,44.7,319.0,66.1,40.077497,-83.07423349999999,2018,3.968105192863512,-0.4596332117774243,red
87,110,ZHEJIANG UNIVERSITY,China,XL,FC,VH,5.0,A,74.0,101,87.1,72,37.2,349,80.2,67.0,54.2,290.0,25.9,401.0,65.9,30.295271,120.16214,2018,3.886264555252985,-0.9061138992341244,red
88,98,TRINITY COLLEGE DUBLIN (TCD),Ireland,L,FC,VH,5.0,A,73.8,102,68.9,136,30.7,401,68.3,120.0,98.4,70.0,89.5,104.0,65.7,53.344310500000006,-6.2578510000000005,2018,4.492195683064302,-0.1850838869507617,red
89,90,RICE UNIVERSITY,United States,M,FC,VH,5.0,B,45.5,221,23.8,401,83.9,103,96.7,24.0,87.5,162.0,87.7,110.0,65.6,29.717171,-95.4018215,2018,4.367972966615796,0.0603632647291915,red
90,98,KOREA UNIVERSITY,South Korea,L,FC,VH,5.0,B,76.8,90,88.1,66,82.8,108,32.8,383.0,17.6,401.0,36.7,379.0,65.5,37.588049,127.030937,2018,3.617102257305412,-0.98109321480134,red
90,94,UNIVERSITY OF ALBERTA,Canada,XL,FC,VH,5.0,A,73.0,104,61.1,166,56.6,239,49.6,239.0,93.0,128.0,82.4,137.0,65.5,53.5246715,-113.5228665,2018,4.31401975604635,-0.1787653103187024,red
92,77,UNIVERSITY OF ST ANDREWS,United Kingdom,M,FC,VH,5.0,A,53.0,180,57.1,187,72.0,157,69.6,112.0,98.0,77.0,99.9,22.0,65.3,56.341364,-2.793838,2018,4.626068058615088,0.0771708809077104,red
93,95,PENNSYLVANIA STATE UNIVERSITY,United States,XL,FC,VH,5.0,A,84.6,70,75.1,114,25.0,401,80.2,66.0,10.4,401.0,42.9,329.0,65.2,40.797229,-77.870724,2018,3.558445530720553,-1.138928330770367,red
93,102,THE UNIVERSITY OF WESTERN AUSTRALIA (UWA),Australia,L,FC,VH,5.0,A,71.6,110,64.1,150,24.7,401,82.3,58.0,100.0,34.0,72.9,175.0,65.2,-31.980069,115.817898,2018,4.3533755532585126,-0.2749195543985369,red
95,108,LOMONOSOV MOSCOW STATE UNIVERSITY ,Russia,XL,FO,VH,5.0,A,82.0,75,79.6,94,99.7,29,6.3,401.0,9.5,401.0,48.7,297.0,65.0,55.7635535,37.661657000000005,2018,3.465807625410927,-0.9139311436378031,red
95,111,THE HONG KONG POLYTECHNIC UNIVERSITY,Hong Kong,L,CO,VH,2.0,A,70.2,114,52.4,213,58.0,234,54.5,198.0,100.0,45.0,80.2,148.0,65.0,22.3046025,114.179821,2018,3.916243650840199,3.272544448853884,red
97,104,UNIVERSITY OF SCIENCE AND TECHNOLOGY OF CHINA,China,L,CO,VH,4.0,A,62.9,144,57.9,183,67.6,179,96.7,23.0,14.4,401.0,5.2,401.0,64.9,31.8408885,117.26286,2018,3.2303596256325937,0.0020325841142727,red
98,97,"KTH, ROYAL INSTITUTE OF TECHNOLOGY",Sweden,L,CO,VH,5.0,A,57.2,162,87.0,74,62.5,206,70.0,110.0,88.1,155.0,42.0,336.0,64.7,59.3464415,18.07222775,2018,4.241675081902998,-0.4544266110094592,red
98,95,UNIVERSITY OF GENEVA,Switzerland,L,FC,VH,5.0,A,57.7,160,41.4,311,55.1,252,82.1,59.0,100.0,31.0,98.9,42.0,64.7,46.199198,6.144717999999999,2018,4.464048938219265,0.06216644771944,red
100,106,WASHINGTON UNIVERSITY IN ST. LOUIS,United States,L,FC,VH,5.0,B,51.0,189,24.8,401,99.6,30,78.3,74.0,57.8,272.0,62.4,226.0,64.6,38.648015,-90.311359,2018,3.841035725524854,-0.2767658695536669,red
101,93,UNIVERSITY OF LEEDS,United Kingdom,L,FC,VH,5.0,A,74.4,100,86.9,75,47.0,286,42.3,300.0,79.4,194.0,81.3,143.0,64.5,53.806948625,-1.553621125,2018,4.2923265143548,-0.3649397702085397,red
102,91,UNIVERSITY OF HELSINKI,Finland,L,CO,VH,5.0,A,76.4,92,51.4,218,83.4,107,41.5,308.0,53.6,294.0,9.0,401.0,63.9,60.175707,24.953033,2018,3.337029690711534,-0.8239824609910158,red
102,87,UNIVERSITY OF SOUTHAMPTON,United Kingdom,L,FC,VH,5.0,A,62.1,151,58.4,181,62.6,204,56.0,186.0,92.7,130.0,95.3,78.0,63.9,50.934787375,-1.3980085,2018,4.379406556077569,-0.0428919582160346,red
104,121,EINDHOVEN UNIVERSITY OF TECHNOLOGY,Netherlands,M,FO,VH,4.0,A,39.1,264,54.4,204,93.1,63,83.3,56.0,98.4,72.0,43.8,323.0,63.6,28.362228,75.588597,2018,4.041419239192779,0.9693370241974638,red
105,92,PURDUE UNIVERSITY,United States,XL,FC,VH,5.0,A,73.7,103,70.7,127,31.6,401,58.0,172.0,97.2,97.0,73.7,172.0,63.2,40.416012,-86.929836,2018,4.202975609190697,-0.2921683586808079,red
106,112,YONSEI UNIVERSITY,South Korea,L,FC,VH,5.0,B,71.8,109,87.7,67,79.6,121,31.8,397.0,14.9,401.0,32.6,401.0,62.3,37.567768,126.938323,2018,3.3766551082608145,-1.0126792815954642,red
107,98,"KIT, KARLSRUHER INSTITUT FÜR TECHNOLOGIE",Germany,L,CO,VH,4.0,A,57.2,163,96.8,36,47.0,287,69.8,111.0,61.1,260.0,55.5,261.0,61.9,38.317128375,26.638165,2018,3.9417817733678167,0.5135625337476027,red
108,106,SUNGKYUNKWAN UNIVERSITY,South Korea,L,FC,VH,5.0,B,62.4,148,96.5,39,85.1,96,37.9,338.0,17.7,401.0,27.6,401.0,61.6,37.585447,126.995297,2018,3.453960806890356,-0.999570675380218,red
